"state","county","deaths","pop"
"ARIZONA","SANTA.CRUZ",5,50366
"ARIZONA","YAVAPAI",14,176766
"ARIZONA","YUMA",8,223082
"ARKANSAS","ARKANSAS",1,46225
"ARKANSAS","ASHLEY",3,46592
"ARKANSAS","BAXTER",5,67372
"ARKANSAS","BENTON",5,193157
"ARKANSAS","BOONE",5,63365
"ARKANSAS","BRADLEY",0,22293
"ARKANSAS","CALHOUN",0,10831
"ARKANSAS","CARROLL",1,39753
"ARKANSAS","CHICOT",1,19774
"ARKANSAS","CLARK",2,43324
"ARKANSAS","CLAY",5,48002
"ARKANSAS","CLEBURNE",3,42470
"ARKANSAS","CLEVELAND",0,16319
"ARKANSAS","COLUMBIA",3,41799
"ARKANSAS","CONWAY",3,39711
"ARKANSAS","CRAIGHEAD",8,144315
"ARKANSAS","CRAWFORD",8,88475
"ARKANSAS","CRITTENDEN",0,68034
"ARKANSAS","CROSS",1,37277
"ARKANSAS","DALLAS",0,15660
"ARKANSAS","DESHA",0,26539
"ARKANSAS","DREW",0,31871
"ARKANSAS","FAULKNER",6,106008
"ARKANSAS","FRANKLIN",1,35824
"ARKANSAS","FULTON",2,24067
"ARKANSAS","GARLAND",10,154925
"ARKANSAS","GRANT",1,30939
"ARKANSAS","GREENE",5,74064
"ARKANSAS","HEMPSTEAD",1,39065
"ARKANSAS","HOT.SPRING",0,57208
"ARKANSAS","HOWARD",0,25969
"ARKANSAS","INDEPENDENCE",3,73710
"ARKANSAS","IZARD",2,26129
"ARKANSAS","JACKSON",1,44210
"ARKANSAS","JEFFERSON",11,128789
"ARKANSAS","JOHNSON",4,42421
"ARKANSAS","LAFAYETTE",0,14603
"ARKANSAS","LAWRENCE",1,43826
"ARKANSAS","LEE",1,16598
"ARKANSAS","LINCOLN",1,23076
"ARKANSAS","LITTLE.RIVER",2,25659
"ARKANSAS","LOGAN",2,48903
"ARKANSAS","LONOKE",7,75872
"ARKANSAS","MADISON",1,28258
"ARKANSAS","MARION",4,27898
"ARKANSAS","MILLER",2,70193
"ARKANSAS","MISSISSIPPI",5,105034
"ARKANSAS","MONROE",0,19392
"ARKANSAS","MONTGOMERY",0,18761
"ARKANSAS","NEVADA",1,18204
"ARKANSAS","NEWTON",0,19296
"ARKANSAS","OUACHITA",2,47424
"ARKANSAS","PERRY",1,18064
"ARKANSAS","PHILLIPS",4,37271
"ARKANSAS","PIKE",3,23713
"ARKANSAS","POINSETT",3,59206
"ARKANSAS","POLK",3,41473
"ARKANSAS","POPE",2,96029
"ARKANSAS","PRAIRIE",0,21462
"ARKANSAS","PULASKI",38,618920
"ARKANSAS","RANDOLPH",5,39464
"ARKANSAS","SAINT.FRANCIS",2,39269
"ARKANSAS","SALINE",3,131550
"ARKANSAS","SCOTT",3,23608
"ARKANSAS","SEARCY",1,21238
"ARKANSAS","SEBASTIAN",11,211660
"ARKANSAS","SEVIER",2,31979
"ARKANSAS","SHARP",4,34922
"ARKANSAS","STONE",1,22387
"ARKANSAS","UNION",3,81455
"ARKANSAS","VAN.BUREN",2,33025
"ARKANSAS","WASHINGTON",10,246005
"ARKANSAS","WHITE",3,120792
"ARKANSAS","WOODRUFF",0,18088
"ARKANSAS","YELL",1,40811
"CALIFORNIA","ALAMEDA",87,1992399
"CALIFORNIA","ALPINE",0,2586
"CALIFORNIA","AMADOR",3,50750
"CALIFORNIA","BUTTE",27,352665
"CALIFORNIA","CALAVERAS",1,54753
"CALIFORNIA","COLUSA",1,32609
"CALIFORNIA","CONTRA.COSTA",70,1396858
"CALIFORNIA","DEL.NORTE",2,43238
"CALIFORNIA","EL.DORADO",14,222795
"CALIFORNIA","FRESNO",39,1192909
"CALIFORNIA","GLENN",4,53729
"CALIFORNIA","HUMBOLDT",19,255346
"CALIFORNIA","IMPERIAL",9,219462
"CALIFORNIA","INYO",1,40528
"CALIFORNIA","KERN",40,976502
"CALIFORNIA","KINGS",6,180750
"CALIFORNIA","LAKE",12,93785
"CALIFORNIA","LASSEN",1,56655
"CALIFORNIA","LOS.ANGELES",647,15266402
"CALIFORNIA","MADERA",6,161537
"CALIFORNIA","MARIN",25,512111
"CALIFORNIA","MARIPOSA",3,28203
"CALIFORNIA","MENDOCINO",6,163527
"CALIFORNIA","MERCED",14,324084
"CALIFORNIA","MODOC",1,21841
"CALIFORNIA","MONO",0,23364
"CALIFORNIA","MONTEREY",19,660660
"CALIFORNIA","NAPA",13,236568
"CALIFORNIA","NEVADA",10,140258
"CALIFORNIA","ORANGE",183,4638943
"CALIFORNIA","PLACER",16,299857
"CALIFORNIA","PLUMAS",3,43238
"CALIFORNIA","RIVERSIDE",89,1623058
"CALIFORNIA","SACRAMENTO",92,1706528
"CALIFORNIA","SAN.BENITO",4,65003
"CALIFORNIA","SAN.BERNARDINO",101,2153429
"CALIFORNIA","SAN.DIEGO",199,4380935
"CALIFORNIA","SAN.FRANCISCO",72,1115035
"CALIFORNIA","SAN.JOAQUIN",49,788363
"CALIFORNIA","SAN.LUIS.OBISP",14,397016
"CALIFORNIA","SAN.MATEO",55,1201618
"CALIFORNIA","SANTA.BARBARA",23,717655
"CALIFORNIA","SANTA.CLARA",91,2862542
"CALIFORNIA","SANTA.CRUZ",14,461283
"CALIFORNIA","SHASTA",11,285477
"CALIFORNIA","SIERRA",1,7980
"CALIFORNIA","SISKIYOU",4,95979
"CALIFORNIA","SOLANO",12,499481
"CALIFORNIA","SONOMA",27,728450
"CALIFORNIA","STANISLAUS",29,649086
"CALIFORNIA","SUTTER",5,121465
"CALIFORNIA","TEHAMA",11,99184
"CALIFORNIA","TRINITY",1,29988
"CALIFORNIA","TULARE",20,605781
"CALIFORNIA","TUOLUMNE",4,87605
"CALIFORNIA","VENTURA",54,1302277
"CALIFORNIA","YOLO",17,266301
"CALIFORNIA","YUBA",5,113805
"COLORADO","ADAMS",21,603608
"COLORADO","ALAMOSA",2,29707
"COLORADO","ARAPAHOE",14,757801
"COLORADO","ARCHULETA",2,10574
"COLORADO","BACA",1,12897
"COLORADO","BENT",0,15091
"COLORADO","BOULDER",9,490764
"COLORADO","CHAFFEE",0,33384
"COLORADO","CHEYENNE",0,5632
"COLORADO","CLEAR.CREEK",1,20022
"COLORADO","CONEJOS",1,19007
"COLORADO","COSTILLA",0,7712
"COLORADO","CROWLEY",2,7529
"COLORADO","CUSTER",0,4148
"COLORADO","DELTA",4,55581
"COLORADO","DENVER",52,1034592
"COLORADO","DOLORES",1,4151
"COLORADO","DOUGLAS",2,74271
"COLORADO","EAGLE",0,41256
"COLORADO","EL.PASO",20,760385
"COLORADO","ELBERT",1,18638
"COLORADO","FREMONT",5,73643
"COLORADO","GARFIELD",1,66124
"COLORADO","GILPIN",1,7055
"COLORADO","GRAND",0,20611
"COLORADO","GUNNISON",1,28646
"COLORADO","HINSDALE",0,1262
"COLORADO","HUERFANO",0,16143
"COLORADO","JACKSON",0,4670
"COLORADO","JEFFERSON",22,953569
"COLORADO","KIOWA",1,4869
"COLORADO","KIT.CARSON",3,18864
"COLORADO","LA.PLATA",3,69971
"COLORADO","LAKE",1,21183
"COLORADO","LARIMER",10,382219
"COLORADO","LAS.ANIMAS",2,35840
"COLORADO","LINCOLN",1,11135
"COLORADO","LOGAN",1,48372
"COLORADO","MESA",5,220343
"COLORADO","MINERAL",0,2162
"COLORADO","MOFFAT",0,35329
"COLORADO","MONTEZUMA",2,39165
"COLORADO","MONTROSE",1,62224
"COLORADO","MORGAN",6,55815
"COLORADO","OTERO",3,53280
"COLORADO","OURAY",1,5100
"COLORADO","PARK",1,15151
"COLORADO","PHILLIPS",0,11128
"COLORADO","PITKIN",0,27557
"COLORADO","PROWERS",2,32563
"COLORADO","PUEBLO",15,295501
"COLORADO","RIO.BLANCO",0,17365
"COLORADO","RIO.GRANDE",0,26931
"COLORADO","ROUTT",1,36778
"COLORADO","SAGUACHE",1,10227
"COLORADO","SAN.JUAN",0,2474
"COLORADO","SAN.MIGUEL",0,8031
"COLORADO","SEDGWICK",0,7657
"COLORADO","SUMMIT",0,27205
"COLORADO","TELLER",1,22968
"COLORADO","WASHINGTON",0,13471
"COLORADO","WELD",8,305859
"COLORADO","YUMA",0,23774
"CONNECTICUT","FAIRFIELD",94,1771504
"CONNECTICUT","HARTFORD",85,1761750
"CONNECTICUT","LITCHFIELD",22,381150
"CONNECTICUT","MIDDLESEX",20,304656
"CONNECTICUT","NEW.HAVEN",107,1649100
"CONNECTICUT","NEW.LONDON",26,581800
"CONNECTICUT","TOLLAND",6,283711
"CONNECTICUT","WINDHAM",14,222404
"DELAWARE","KENT",3,198425
"DELAWARE","NEW.CASTLE",27,811475
"DELAWARE","SUSSEX",14,194618
"DISTRICT.OF.COLUMBIA","DISTRICT.OF.CO",22,437566
"FLORIDA","ALACHUA",5,319898
"FLORIDA","BAKER",0,34087
"FLORIDA","BAY",15,222386
"FLORIDA","BRADFORD",5,43905
"FLORIDA","BREVARD",36,668956
"FLORIDA","BROWARD",197,2212734
"FLORIDA","CALHOUN",0,19514
"FLORIDA","CHARLOTTE",16,154371
"FLORIDA","CITRUS",14,146051
"FLORIDA","CLAY",2,170245
"FLORIDA","COLLIER",22,229457
"FLORIDA","COLUMBIA",4,73570
"FLORIDA","DADE",227,3278943
"FLORIDA","DE.SOTO",3,40902
"FLORIDA","DIXIE",2,18904
"FLORIDA","DUVAL",44,1069748
"FLORIDA","ESCAMBIA",18,469586
"FLORIDA","FLAGLER",2,28372
"FLORIDA","FRANKLIN",1,17098
"FLORIDA","GADSDEN",2,40981
"FLORIDA","GILCHRIST",0,15495
"FLORIDA","GLADES",0,12628
"FLORIDA","GULF",0,21234
"FLORIDA","HAMILTON",1,13871
"FLORIDA","HARDEE",1,45524
"FLORIDA","HENDRY",0,40673
"FLORIDA","HERNANDO",8,125721
"FLORIDA","HIGHLANDS",5,107822
"FLORIDA","HILLSBOROUGH",60,1438989
"FLORIDA","HOLMES",0,35797
"FLORIDA","INDIAN.RIVER",10,142870
"FLORIDA","JACKSON",2,72358
"FLORIDA","JEFFERSON",0,14453
"FLORIDA","LAFAYETTE",0,9619
"FLORIDA","LAKE",15,238292
"FLORIDA","LEE",36,509853
"FLORIDA","LEON",7,285398
"FLORIDA","LEVY",2,43899
"FLORIDA","LIBERTY",1,9990
"FLORIDA","MADISON",0,21407
"FLORIDA","MANATEE",31,345451
"FLORIDA","MARION",16,280325
"FLORIDA","MARTIN",18,161947
"FLORIDA","MONROE",12,162037
"FLORIDA","NASSAU",5,75192
"FLORIDA","OKALOOSA",21,267269
"FLORIDA","OKEECHOBEE",5,52429
"FLORIDA","ORANGE",38,1042879
"FLORIDA","OSCEOLA",8,135475
"FLORIDA","PALM.BEACH",111,1314930
"FLORIDA","PASCO",58,498118
"FLORIDA","PINELLAS",146,1612081
"FLORIDA","POLK",35,702141
"FLORIDA","PUTNAM",6,104927
"FLORIDA","SAINT.JOHNS",7,118895
"FLORIDA","SAINT.LUCIE",18,194384
"FLORIDA","SANTA.ROSA",3,143063
"FLORIDA","SARASOTA",55,485595
"FLORIDA","SEMINOLE",7,433632
"FLORIDA","SUMTER",2,52534
"FLORIDA","SUWANNEE",2,47676
"FLORIDA","TAYLOR",3,32575
"FLORIDA","UNION",0,23555
"FLORIDA","VOLUSIA",43,596543
"FLORIDA","WAKULLA",1,23680
"FLORIDA","WALTON",3,49921
"FLORIDA","WASHINGTON",2,30307
"GEORGIA","APPLING",0,30408
"GEORGIA","ATKINSON",0,11040
"GEORGIA","BACON",1,19211
"GEORGIA","BAKER",0,4583
"GEORGIA","BALDWIN",1,55980
"GEORGIA","BANKS",1,21098
"GEORGIA","BARROW",1,46675
"GEORGIA","BARTOW",0,92416
"GEORGIA","BEN.HILL",2,26784
"GEORGIA","BERRIEN",2,29455
"GEORGIA","BIBB",4,216805
"GEORGIA","BLECKLEY",0,20470
"GEORGIA","BRANTLEY",0,20832
"GEORGIA","BROOKS",0,20578
"GEORGIA","BRYAN",1,21212
"GEORGIA","BULLOCH",5,66465
"GEORGIA","BURKE",2,22807
"GEORGIA","BUTTS",3,22508
"GEORGIA","CALHOUN",0,5615
"GEORGIA","CAMDEN",0,29300
"GEORGIA","CANDLER",1,12314
"GEORGIA","CARROLL",2,119739
"GEORGIA","CATOOSA",4,90279
"GEORGIA","CHARLTON",0,13003
"GEORGIA","CHATHAM",18,307896
"GEORGIA","CHATTAHOOCHEE",0,47314
"GEORGIA","CHATTOOGA",0,47651
"GEORGIA","CHEROKEE",4,137154
"GEORGIA","CLARKE",5,140109
"GEORGIA","CLAY",0,3078
"GEORGIA","CLAYTON",6,334959
"GEORGIA","CLINCH",0,11527
"GEORGIA","COBB",20,741659
"GEORGIA","COFFEE",0,49446
"GEORGIA","COLQUITT",3,66502
"GEORGIA","COLUMBIA",3,92896
"GEORGIA","COOK",2,22913
"GEORGIA","COWETA",2,73491
"GEORGIA","CRAWFORD",0,11617
"GEORGIA","CRISP",2,28000
"GEORGIA","DADE",0,29653
"GEORGIA","DAWSON",0,13421
"GEORGIA","DE.KALB",36,805752
"GEORGIA","DECATUR",2,37945
"GEORGIA","DODGE",2,29966
"GEORGIA","DOOLY",0,12973
"GEORGIA","DOUGHERTY",3,137331
"GEORGIA","DOUGLAS",4,133286
"GEORGIA","EARLY",0,17489
"GEORGIA","ECHOLS",0,4547
"GEORGIA","EFFINGHAM",2,40155
"GEORGIA","ELBERT",2,31531
"GEORGIA","EMANUEL",3,34381
"GEORGIA","EVANS",1,13397
"GEORGIA","FANNIN",3,35621
"GEORGIA","FAYETTE",2,79586
"GEORGIA","FLOYD",8,164230
"GEORGIA","FORSYTH",4,73722
"GEORGIA","FRANKLIN",3,33480
"GEORGIA","FULTON",43,706849
"GEORGIA","GILMER",1,27863
"GEORGIA","GLASCOCK",0,4668
"GEORGIA","GLYNN",4,99768
"GEORGIA","GORDON",3,72172
"GEORGIA","GRADY",0,32611
"GEORGIA","GREENE",0,13257
"GEORGIA","GWINNETT",18,460289
"GEORGIA","HABERSHAM",4,59809
"GEORGIA","HALL",6,173651
"GEORGIA","HANCOCK",0,4822
"GEORGIA","HARALSON",4,42924
"GEORGIA","HARRIS",3,25900
"GEORGIA","HART",2,35589
"GEORGIA","HEARD",0,13988
"GEORGIA","HENRY",2,80489
"GEORGIA","HOUSTON",5,157336
"GEORGIA","IRWIN",0,14677
"GEORGIA","JACKSON",3,57248
"GEORGIA","JASPER",1,11183
"GEORGIA","JEFF.DAVIS",0,24166
"GEORGIA","JEFFERSON",1,19835
"GEORGIA","JENKINS",0,12626
"GEORGIA","JOHNSON",2,13792
"GEORGIA","JONES",1,31019
"GEORGIA","LAMAR",0,18981
"GEORGIA","LANIER",0,10284
"GEORGIA","LAURENS",1,61699
"GEORGIA","LEE",0,24887
"GEORGIA","LIBERTY",1,73401
"GEORGIA","LINCOLN",1,9560
"GEORGIA","LONG",0,9693
"GEORGIA","LOWNDES",4,118636
"GEORGIA","LUMPKIN",2,26879
"GEORGIA","MAC.DUFFIE",1,28936
"GEORGIA","MAC.INTOSH",2,11283
"GEORGIA","MACON",0,14739
"GEORGIA","MADISON",0,40205
"GEORGIA","MARION",0,7120
"GEORGIA","MERIWETHER",0,28091
"GEORGIA","MILLER",0,12011
"GEORGIA","MITCHELL",1,26507
"GEORGIA","MONROE",2,22561
"GEORGIA","MONTGOMERY",1,12195
"GEORGIA","MORGAN",1,17548
"GEORGIA","MURRAY",3,50815
"GEORGIA","MUSCOGEE",14,273313
"GEORGIA","NEWTON",3,66536
"GEORGIA","OCONEE",0,29588
"GEORGIA","OGLETHORPE",1,15573
"GEORGIA","PAULDING",2,65590
"GEORGIA","PEACH",1,22974
"GEORGIA","PICKENS",2,28559
"GEORGIA","PIERCE",1,25552
"GEORGIA","PIKE",0,16638
"GEORGIA","POLK",3,66748
"GEORGIA","PULASKI",0,14136
"GEORGIA","PUTNAM",1,16273
"GEORGIA","QUITMAN",0,2524
"GEORGIA","RABUN",1,25550
"GEORGIA","RANDOLPH",0,9753
"GEORGIA","RICHMOND",11,275072
"GEORGIA","ROCKDALE",2,86487
"GEORGIA","SCHLEY",0,5465
"GEORGIA","SCREVEN",0,18707
"GEORGIA","SEMINOLE",0,14890
"GEORGIA","SPALDING",3,85759
"GEORGIA","STEPHENS",3,46272
"GEORGIA","STEWART",0,5215
"GEORGIA","SUMTER",0,38887
"GEORGIA","TALBOT",1,5855
"GEORGIA","TALIAFERRO",0,1593
"GEORGIA","TATTNALL",0,32021
"GEORGIA","TAYLOR",1,11437
"GEORGIA","TELFAIR",0,18428
"GEORGIA","TERRELL",0,11228
"GEORGIA","THOMAS",5,57288
"GEORGIA","TIFT",3,60543
"GEORGIA","TOOMBS",0,41229
"GEORGIA","TOWNS",1,14650
"GEORGIA","TREUTLEN",1,9944
"GEORGIA","TROUP",1,83927
"GEORGIA","TURNER",0,14375
"GEORGIA","TWIGGS",0,11571
"GEORGIA","UNION",3,24113
"GEORGIA","UNKNOWN",0,0
"GEORGIA","UPSON",1,44975
"GEORGIA","WALKER",5,131769
"GEORGIA","WALTON",3,61048
"GEORGIA","WARE",1,68231
"GEORGIA","WARREN",0,6307
"GEORGIA","WASHINGTON",2,22274
"GEORGIA","WAYNE",2,41938
"GEORGIA","WEBSTER",0,2835
"GEORGIA","WHEELER",1,8739
"GEORGIA","WHITE",4,24847
"GEORGIA","WHITFIELD",13,155666
"GEORGIA","WILCOX",0,12217
"GEORGIA","WILKES",3,14334
"GEORGIA","WILKINSON",1,14281
"GEORGIA","WORTH",1,30276
"HAWAII","HAWAII",0,94161
"HAWAII","HONOLULU",17,753993
"HAWAII","KAUAI",1,34765
"HAWAII","MAUI",2,75691
"IDAHO","ADA",18,433739
"IDAHO","ADAMS",1,8393
"IDAHO","BANNOCK",9,159519
"IDAHO","BEAR.LAKE",1,17677
"IDAHO","BENEWAH",2,20208
"IDAHO","BINGHAM",2,87575
"IDAHO","BLAINE",1,28122
"IDAHO","BOISE",0,7899
"IDAHO","BONNER",0,62085
"IDAHO","BONNEVILLE",2,166415
"IDAHO","BOUNDARY",0,18526
"IDAHO","BUTTE",1,8704
"IDAHO","CAMAS",0,2142
"IDAHO","CANYON",15,205484
"IDAHO","CARIBOU",1,21919
"IDAHO","CASSIA",1,49498
"IDAHO","CLARK",1,2212
"IDAHO","CLEARWATER",0,26025
"IDAHO","CUSTER",0,11602
"IDAHO","ELMORE",0,55778
"IDAHO","FRANKLIN",1,23559
"IDAHO","FREMONT",0,27526
"IDAHO","GEM",1,29082
"IDAHO","GOODING",3,30819
"IDAHO","IDAHO",3,36953
"IDAHO","JEFFERSON",0,39682
"IDAHO","JEROME",1,38529
"IDAHO","KOOTENAI",6,151278
"IDAHO","LATAH",1,74648
"IDAHO","LEMHI",0,19524
"IDAHO","LEWIS",2,9705
"IDAHO","LINCOLN",1,9041
"IDAHO","MADISON",1,47639
"IDAHO","MINIDOKA",2,50161
"IDAHO","NEZ.PERCE",8,77309
"IDAHO","ONEIDA",0,8258
"IDAHO","OWYHEE",2,21135
"IDAHO","PAYETTE",1,38529
"IDAHO","POWER",0,16672
"IDAHO","SHOSHONE",3,45895
"IDAHO","TETON",2,8218
"IDAHO","TWIN.FALLS",3,131153
"IDAHO","VALLEY",0,15581
"IDAHO","WASHINGTON",3,21165
"ILLINOIS","ADAMS",6,164878
"ILLINOIS","ALEXANDER",0,19672
"ILLINOIS","BOND",4,37869
"ILLINOIS","BOONE",4,71033
"ILLINOIS","BROWN",1,13597
"ILLINOIS","BUREAU",7,92928
"ILLINOIS","CALHOUN",1,14447
"ILLINOIS","CARROLL",5,44858
"ILLINOIS","CASS",1,35632
"ILLINOIS","CHAMPAIGN",15,385430
"ILLINOIS","CHRISTIAN",7,86338
"ILLINOIS","CLARK",2,40693
"ILLINOIS","CLAY",8,37117
"ILLINOIS","CLINTON",4,81088
"ILLINOIS","COLES",5,121175
"ILLINOIS","COOK",503,9080516
"ILLINOIS","CRAWFORD",4,50765
"ILLINOIS","CUMBERLAND",2,27208
"ILLINOIS","DE.KALB",6,174236
"ILLINOIS","DE.WITT",1,43362
"ILLINOIS","DOUGLAS",3,47617
"ILLINOIS","DU.PAGE",52,1597359
"ILLINOIS","EDGAR",3,51143
"ILLINOIS","EDWARDS",0,19304
"ILLINOIS","EFFINGHAM",4,76104
"ILLINOIS","FAYETTE",4,53948
"ILLINOIS","FORD",2,36255
"ILLINOIS","FRANKLIN",9,102622
"ILLINOIS","FULTON",4,103095
"ILLINOIS","GALLATIN",0,18489
"ILLINOIS","GREENE",1,39694
"ILLINOIS","GRUNDY",4,76014
"ILLINOIS","HAMILTON",2,21935
"ILLINOIS","HANCOCK",4,56251
"ILLINOIS","HARDIN",2,13158
"ILLINOIS","HENDERSON",0,22172
"ILLINOIS","HENRY",8,137244
"ILLINOIS","IROQUOIS",6,79442
"ILLINOIS","JACKSON",10,143095
"ILLINOIS","JASPER",1,27765
"ILLINOIS","JEFFERSON",4,86143
"ILLINOIS","JERSEY",2,50046
"ILLINOIS","JO.DAVIESS",3,57664
"ILLINOIS","JOHNSON",3,24262
"ILLINOIS","KANE",20,648234
"ILLINOIS","KANKAKEE",4,207533
"ILLINOIS","KENDALL",1,92268
"ILLINOIS","KNOX",5,138312
"ILLINOIS","LA.SALLE",22,265008
"ILLINOIS","LAKE",43,1052635
"ILLINOIS","LAWRENCE",3,42191
"ILLINOIS","LEE",1,84590
"ILLINOIS","LIVINGSTON",5,95042
"ILLINOIS","LOGAN",1,73898
"ILLINOIS","MAC.DONOUGH",8,88716
"ILLINOIS","MAC.HENRY",23,371583
"ILLINOIS","MAC.LEAN",8,273229
"ILLINOIS","MACON",17,275135
"ILLINOIS","MACOUPIN",9,116685
"ILLINOIS","MADISON",35,552231
"ILLINOIS","MARION",5,101280
"ILLINOIS","MARSHALL",3,35074
"ILLINOIS","MASON",3,45704
"ILLINOIS","MASSAC",0,33676
"ILLINOIS","MENARD",3,28162
"ILLINOIS","MERCER",0,47118
"ILLINOIS","MONROE",2,49522
"ILLINOIS","MONTGOMERY",10,77006
"ILLINOIS","MORGAN",1,85478
"ILLINOIS","MOULTRIE",1,34767
"ILLINOIS","OGLE",3,112717
"ILLINOIS","PEORIA",19,415273
"ILLINOIS","PERRY",1,51833
"ILLINOIS","PIATT",1,40315
"ILLINOIS","PIKE",1,45525
"ILLINOIS","POPE",1,10723
"ILLINOIS","PULASKI",1,13936
"ILLINOIS","PUTNAM",1,15152
"ILLINOIS","RANDOLPH",4,84433
"ILLINOIS","RICHLAND",1,43584
"ILLINOIS","ROCK.ISLAND",19,372229
"ILLINOIS","SAINT.CLAIR",26,465251
"ILLINOIS","SALINE",2,65002
"ILLINOIS","SANGAMON",19,382448
"ILLINOIS","SCHUYLER",1,19999
"ILLINOIS","SCOTT",2,14586
"ILLINOIS","SHELBY",2,58173
"ILLINOIS","STARK",1,17462
"ILLINOIS","STEPHENSON",8,112320
"ILLINOIS","TAZEWELL",13,315604
"ILLINOIS","UNION",5,43807
"ILLINOIS","VERMILION",13,207287
"ILLINOIS","WABASH",0,33194
"ILLINOIS","WARREN",5,51055
"ILLINOIS","WASHINGTON",2,37390
"ILLINOIS","WAYNE",2,44374
"ILLINOIS","WHITE",1,43021
"ILLINOIS","WHITESIDE",3,156273
"ILLINOIS","WILL",25,718663
"ILLINOIS","WILLIAMSON",5,136350
"ILLINOIS","WINNEBAGO",28,550069
"ILLINOIS","WOODFORD",1,81397
"INDIANA","ADAMS",3,73393
"INDIANA","ALLEN",19,632413
"INDIANA","BARTHOLOMEW",10,151680
"INDIANA","BENTON",2,24301
"INDIANA","BLACKFORD",1,36913
"INDIANA","BOONE",5,88886
"INDIANA","BROWN",3,31142
"INDIANA","CARROLL",3,47656
"INDIANA","CASS",5,96027
"INDIANA","CLARK",12,203855
"INDIANA","CLAY",5,58822
"INDIANA","CLINTON",0,75096
"INDIANA","CRAWFORD",4,24108
"INDIANA","DAVIESS",6,67658
"INDIANA","DE.KALB",3,80865
"INDIANA","DEARBORN",6,85090
"INDIANA","DECATUR",2,57424
"INDIANA","DELAWARE",13,280631
"INDIANA","DUBOIS",9,85189
"INDIANA","ELKHART",22,321524
"INDIANA","FAYETTE",2,66408
"INDIANA","FLOYD",6,143026
"INDIANA","FOUNTAIN",2,46002
"INDIANA","FRANKLIN",1,48944
"INDIANA","FULTON",3,45822
"INDIANA","GIBSON",3,79801
"INDIANA","GRANT",10,176466
"INDIANA","GREENE",3,72257
"INDIANA","HAMILTON",7,204722
"INDIANA","HANCOCK",5,107471
"INDIANA","HARRISON",2,68492
"INDIANA","HENDRICKS",5,175141
"INDIANA","HENRY",10,122832
"INDIANA","HOWARD",7,194028
